Légende
*= Taux de variation/part/prix non interprétable ou non calculable
**= Taux de variation > 999.9 %
***= Données provisoires

91 - Horlogerie
Période	Partenaire commercial	Export	
		Valeur (CHF)	
2016***	                  Afghanistan	5'399	
	                  Afrique du Sud	67'739'740	
	                  Albanie	993'147	
	                  Algérie	3'003'801	
	                  Allemagne	1'099'735'675	
	                  Andorre	1'779'894	
	                  Angola	815'585	
	                  Anguilla	18'365	
	                  Antigua	1'517'771	
	                  Arabie saoudite	347'202'652	
	                  Argentine	48'152'355	
	                  Arménie	3'573'124	
	                  Aruba	8'640'624	
	                  Australie	211'456'941	
	                  Autriche	303'234'676	
	                  Azerbaïdjan	10'082'796	
	                  Bahamas	11'392'870	
	                  Bahreïn	90'862'742	
	                  Bangladesh	1'281'310	
	                  Barbade	3'532'951	
	                  Bélarus	2'094'174	
	                  Belgique	112'812'524	
	                  Belize	991'616	
	                  Bermudes	2'569'164	
	                  Bhoutan	30'377	
	                  Bolivie	1'275'481	
	                  Bonaire	380'866	
	                  Bosnie-Herzég.	862'900	
	                  Botswana	21'107	
	                  Brésil	26'591'605	
	                  Brunei	153'544	
	                  Bulgarie	11'849'756	
	                  Burundi	216	
	                  Cabo Verde	56'285	
	                  Caïmanes, Îles	12'360'960	
	                  Cambodge	697'853	
	                  Cameroun	29'653	
	                  Canada	162'965'628	
	                  Canaries, Îles	48'345	
	                  Ceuta	2'940'205	
	                  Chili	18'105'311	
	                  Chine	1'293'337'604	
	                  Chypre	10'668'568	
	                  Colombie	21'724'990	
	                  Congo, Rép. du	518'551	
	                  Congo (RDC)	42'338	
	                  Corée (Nord)	15'106	
	                  Corée (Sud)	661'991'442	
	                  Costa Rica	9'161'573	
	                  Côte d'Ivoire	3'543'686	
	                  Croatie	7'890'403	
	                  Cuba	2'719'941	
	                  Curaçao	2'156'499	
	                  Danemark	59'357'258	
	                  Djibouti	9'844	
	                  Dominicaine, R.	2'859'855	
	                  Dominique	393'217	
	                  Egypte	32'999'511	
	                  El Salvador	210'458	
	                  Emirats arabes	923'517'196	
	                  Equateur	815'153	
	                  Erythrée	333	
	                  Espagne	446'024'831	
	                  Estonie	5'790'537	
	                  Ethiopie	1'191'005	
	                  Fidji	234'400	
	                  Finlande	47'462'829	
	                  France	985'777'073	
	                  Gabon	123'140	
	                  Géorgie	4'607'879	
	                  Ghana	83'887	
	                  Gibraltar	1'211'038	
	                  Grèce	75'971'962	
	                  Grenade	179'900	
	                  Guadeloupe	1'614'990	
	                  Guam	7'776'156	
	                  Guatemala	3'119'138	
	                  Guinée	65'852	
	                  Guinée équat.	1'142'084	
	                  Guyana	10'818	
	                  Guyane franç.	44'081	
	                  Haïti	30'760	
	                  Honduras	254'666	
	                  Hong Kong	2'382'628'649	
