Caption
*= Percentage change/share/price not interpretable or not calculable
**= Percentage change > 999.9 %
***= Provisional data

91 - Clocks and watches and parts thereof
Period	Commercial partner	Export	
		Value (CHF)	
1988	                  Afghanistan	147,596	
	                  Albania	10,722	
	                  Algeria	624,899	
	                  Amer. Virgin	33,244,800	
	                  Andorra	2,854,700	
	                  Angola	400,371	
	                  Anguilla	66,483	
	                  Antigua	100,354	
	                  Argentina	6,042,158	
	                  Australia	38,470,452	
	                  Austria	57,206,722	
	                  Bahamas	11,423,827	
	                  Bahrain	16,780,489	
	                  Bangladesh	3,704,712	
	                  Barbados	852,219	
	                  Belize	220,227	
	                  Benin	156,010	
	                  Bermuda	5,061,511	
	                  Bolivia	307,836	
	                  Botswana	61,147	
	                  Brazil	16,511,085	
	                  Brunei	3,145,583	
	                  Bulgaria	1,128,613	
	                  Burkina Faso	24,375	
	                  Burundi	6,778	
	                  Cabo Verde	10,877	
	                  Cambodia	288,850	
	                  Cameroon	86,014	
	                  Canada	30,459,562	
	                  Canary Islands	2,422,576	
	                  Cayman Islands	2,440,497	
	                  Central Africa	4,996	
	                  Chile	2,009,407	
	                  China	21,103,320	
	                  Colombia	6,721,000	
	                  Congo, Rep. of	188,313	
	                  Costa Rica	129,107	
	                  Côte d'Ivoire	1,033,455	
	                  Cuba	105,732	
	                  Cyprus	2,505,088	
	                  Denmark	19,498,309	
	                  Djibouti	147,679	
	                  Dominica	8,156	
	                  Dominican Rep.	384,779	
	                  Ecuador	571,462	
	                  Egypt	3,603,095	
	                  El Salvador	63,127	
	                  Emirates, Arab	65,626,014	
	                  Ethiopia	75,890	
	                  Fiji	161,220	
	                  Finland	16,388,977	
	                  France	339,243,473	
	                  Gabon	568,684	
	                  Germany	424,642,402	
	                  Ghana	90,447	
	                  Gibraltar	2,166,377	
	                  Greece	26,930,241	
	                  Grenada	9,309	
	                  Guadeloupe	549,133	
	                  Guatemala	291,801	
	                  Guiana, French	103,211	
	                  Guinea-Bissau	17,478	
	                  Guyana	12,535	
	                  Haiti	234,695	
	                  Honduras	318,753	
	                  Hong Kong	905,444,293	
	                  Hungary	6,020,361	
	                  Iceland	1,635,445	
	                  India	22,265,772	
	                  Indonesia	315,253	
	                  Iran	1,434,144	
	                  Iraq	2,641,425	
	                  Ireland	2,890,154	
	                  Israel	8,259,517	
	                  Italy	527,618,360	
	                  Jamaica	2,374,243	
	                  Japan	261,253,873	
	                  Jordan	2,439,610	
	                  Kenya	799,260	
	                  Korea (North)	515,615	
	                  Korea (South)	19,740,183	
	                  Kuwait	20,476,452	
