code,EN,FR,DE,IT,PT,AR,RU,ES,JA,ZH
main.title,,L'Asie représente la moitié des exportations horlogères helvétiques,,,,,,,,
descr,,Par continents et pour les 10 principaux pays importateurs,,,,,,,,
h3,,"Exportations horlogères suisses, 1988-2016",,,,,,,,
y.title,,Milliards CHF,,,,,,,,
tp.1,,millions CHF,,,,,,,,
HK,,Hong-Kong,,,,,,,,
US,,Etats-Unis,,,,,,,,
Asia,,autres pays d'Asie,,,,,,,,
Europe,,autres Europe,,,,,,,,
JP,,Japon,,,,,,,,
IT,,Italie,,,,,,,,
DE,,Allemagne,,,,,,,,
FR,,France,,,,,,,,
SG,,Singapore,,,,,,,,
GB,,Grande-Bretagne,,,,,,,,
Americas,,autres Amériques,,,,,,,,
CN,,Chine,,,,,,,,
AE,,Émirats arabes unis,,,,,,,,
Oceania,,Océanie,,,,,,,,
Africa,,Afrique,,,,,,,,
legend.key,Click to show or hide,Cliquez pour masquer ou afficher,Anklicken zum Aus- oder Einblenden,Clicca per nascondere o mostrare,Clique para ocultar ou ver,اضغط للتغطية أو للإظهار,"Нажмите, чтобы показать или скрыть",Pulsar para mostrar u ocultar,クリックで表示・非表示の切り替えができます,点击打开或收起
source,Source,source,Quelle,Fonte,fonte,المصدر,Источник,Fuente,出典,来源
source.name,,Administration fédérales des douanes,,,,,,,,
