Marques,Chiffre d'affaires,Groupe
Apple,4500,Apple
Rolex,4900,
Omega,2060,Swatch Group
Cartier,2010,Richemont
Patek Philippe,1320,
Longines,1260,Swatch Group
Tissot,1060,Swatch Group
Audemars Piguet,805,
IWC,775,Richemont
TAG Heuer,725,LVMH
Swatch,715,Swatch Group
Jaeger-LeCoultre,690,Richemont
Breguet,620,Swatch Group
Harry Winston*,600,Swatch Group
Chopard,570,
Piaget,520,Richemont
Vacheron Constantin,500,Richemont
Hublot,495,LVMH
Rado,470,Swatch Group
Officine Panerai,440,Richemont
Breitling,370,
Bulgari,330,LVMH
Blancpain,285,Swatch Group
Franck Muller,285,
Festina Group,240,
Montblanc,240,
Mido,205,Swatch Group
Victorinox,200,
Frédérique Constant,190,
Richard Mille,185,
Zenith,150,LVMH
Lange & Söhne,150,Richemont
Baume & Mercier ,135,Richemont
Ck watch,130,
Raymond Weil,120,
Parmigiani,120,
Chanel,120,
Van Cleef&Arpels,107,Richemont
Maurice Lacroix,100,
C.F.Bucherer,100,
Certina,85,Swatch Group
Glashütte Original,85,Swatch Group
Ernest Borel,75,
Titoni ,75,
Hamilton,70,Swatch Group
Roger Dubuis,70,Richemont
De Grisogono,65,
Mondaine,60,
Oris,60,
Bell & Ross,50,
Technomarine,40,
Jaquet Droz,35,Swatch Group
Edox ,30,
F.P.Journe,25,
De Witt,25,
Dior,21,
Chronoswiss,20,
Ralph Lauren,16,Richemont
Dunhill,16,Richemont
